,title,pages-count,date-published,bestsellers-rank,rating,rating-count,author,back-type,price-ILS,width,height,thickness,weight,Contemporary Fiction,Children's Fiction,Children's General Story Books,Adventure Books for Kids,Fantasy Books,Fantasy,Classic Books & Novels,Fantasy Books for Kids,Animal Stories,Sci Fi Books for Kids,Personal Development,Funny Books for Kids,Popular Psychology,Family,"Mind, Body, Spirit: Thought & Practice",Science Fiction,Activity Books,Picture Books,"Assertiveness, Motivation & Self-esteem",Classic Books for Children,Crime,Crime Fiction,Historical Fiction,Graphic Novels: Manga,Romance Books,Romance,Storybooks,Advice On Careers & Achieving Success,Memoirs,Thriller Books,Thrillers,Early Learning,Romance Books for Teenagers,Adventure Books,Biography: General,Funny Books & Stories,Psychology,Family & Relationships,Adult & Contemporary Romance,"Mind, Body & Spirit",Characters,Advice On Parenting,Health Books,Business & Management,"Graphic Novels, Anime & Manga",General Cookery,Baby Books,Popular Medicine & Health,Management: Leadership & Motivation,Family Issues,Traditional,"Mind, Body, Spirit: Meditation & Visualisation"
1151,Batman: Year One,144.0,2011-10-18,4630,4.23,220092.0,Frank Miller,Paperback,63.37,169.0,259.0,9.0,306.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1153,The Diary of a Young Girl,384.0,2011-06-16,2431,4.17,3120256.0,Anne Frank,Paperback,43.96,129.0,198.0,21.0,251.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1154,My Booky Wook,416.0,2008-08-11,92710,3.44,24769.0,Russell Brand,Paperback,47.98,137.0,197.0,28.0,305.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1155,The Road,304.0,2016-12-27,16107,3.97,785980.0,Cormac McCarthy,Paperback,45.58,105.0,173.0,16.0,147.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1156,The Nickel Boys : Winner of the Pulitzer Prize for Fiction 2020,224.0,2020-06-30,1190,4.25,189848.0,Colson Whitehead,Paperback,43.48,124.0,196.0,20.0,196.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1157,I'll Give You the Sun,432.0,2015-04-02,13536,4.14,293744.0,Jandy Nelson,Paperback,46.33,129.0,198.0,30.0,384.0,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
1158,Raising an Emotionally Intelligent Child,240.0,1998-08-24,56171,4.16,4332.0,John Gottman,Paperback,63.71,140.0,215.0,14.0,228.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
1159,Lincoln in the Bardo : WINNER OF THE MAN BOOKER PRIZE 2017,368.0,2018-02-08,13958,3.75,137293.0,George Saunders,Paperback,51.47,129.0,198.0,27.0,298.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1160,"The Road Less Travelled : A New Psychology of Love, Traditional Values and Spiritual Growth",320.0,2008-02-07,2890,4.05,91501.0,M. Scott Peck,Paperback,56.6,126.0,198.0,19.0,218.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1165,Xanathar's Guide to Everything,192.0,2017-11-21,2442,4.5,2385.0,Wizards RPG Team,Hardback,157.25,216.0,279.0,13.0,771.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1168,The Monk Who Sold His Ferrari,256.0,2011-12-17,7819,3.86,128254.0,Robin Sharma,Paperback,53.33,111.0,178.0,16.0,140.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1169,Attached : The New Science of Adult Attachment and How It Can Help You Find--and Keep-- Love,304.0,2018-11-01,6589,4.13,35614.0,Amir Levine,Paperback,66.17,152.0,229.0,21.0,301.0,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1171,Bird by Bird : Some Instructions on Writing and Life,256.0,2016-06-29,1287,4.21,89395.0,Anne Lamott,Paperback,61.17,132.0,203.0,17.0,221.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1173,How to Tell If Your Cat is Plotting to Kill You,136.0,2012-12-19,71772,3.9,32916.0,Matthew Inman,Paperback,53.72,178.0,229.0,15.0,499.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1174,Inside Out & Back Again,288.0,2013-01-02,4770,4.1,53782.0,Thanhha Lai,Paperback,43.98,130.0,191.0,18.0,181.0,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
1176,Blood Meridian,368.0,2010-01-01,58891,4.16,121181.0,Cormac McCarthy,Paperback,54.31,130.0,197.0,22.0,263.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1178,"Jujutsu Kaisen, Vol. 11",192.0,2021-09-16,61,4.66,3652.0,Gege Akutami,Paperback,46.99,127.0,191.0,18.0,168.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1180,Little Women,432.0,2017-03-03,942,4.03,24855.0,Louisa May Alcott,Paperback,42.21,129.0,188.0,26.0,283.0,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1181,Autobiography,480.0,2013-10-25,61784,3.61,11632.0,Morrissey,Paperback,55.56,129.0,198.0,21.0,330.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1182,Afterwards : The Sunday Times and top-ten bestseller,480.0,2011-08-19,1328,3.8,17615.0,Rosamund Lupton,Paperback,48.71,130.0,198.0,34.0,380.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1183,Teach Your Child to Read in 100 Easy Lessons,395.0,1986-06-15,2388,4.2,2538.0,Phyllis Haddox,Paperback,71.21,213.0,279.0,23.0,907.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
1184,Lullabies,248.0,2014-09-25,1322,4.0,24493.0,Lang Leav,Paperback,48.89,127.0,203.0,20.0,257.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1185,"The Promised Neverland, Vol. 1",192.0,2017-12-14,242,4.48,41698.0,Kaiu Shirai,Paperback,48.68,127.0,191.0,15.0,220.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1186,The Alchemist,224.0,2015-07-02,564,3.89,2418510.0,Paulo Coelho,Hardback,51.08,116.0,157.0,23.0,230.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1188,The Outsiders,224.0,2016-08-04,4505,4.11,1074482.0,S E Hinton,Paperback,46.2,129.0,198.0,14.0,161.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1189,The Remains of the Day,272.0,2010-04-01,933,4.14,234795.0,Kazuo Ishiguro,Paperback,48.72,126.0,198.0,16.0,212.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1190,I Know Why The Caged Bird Sings,320.0,2018-08-28,6743,4.25,461326.0,Maya Angelou,Paperback,44.54,128.0,196.0,26.0,253.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1192,Factfulness : Ten Reasons We're Wrong About The World - And Why Things Are Better Than You Think,352.0,2019-06-27,640,4.33,148443.0,Hans Rosling,Paperback,46.99,129.0,198.0,21.0,255.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
1193,The World's Worst Children,272.0,2016-05-19,16739,4.22,5671.0,David Walliams,Paperback,74.68,153.0,200.0,17.0,560.0,False,False,True,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1194,The Ickabog,288.0,2020-11-10,2092,3.97,29713.0,J. K. Rowling,Hardback,75.58,140.0,200.0,40.0,400.0,False,False,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1195,Bared to You : A Crossfire Novel,368.0,2012-07-19,13624,4.17,483710.0,Sylvia Day,Paperback,52.67,129.0,198.0,26.0,340.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
1196,How to Read a Book,426.0,2008-06-16,2389,3.96,21173.0,Mortimer J. Adler,Paperback,53.0,135.0,210.0,25.0,338.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1197,"200 Crochet Blocks for Blankets, Throws and Afghans : Crochet Squares to Mix-and-Match",128.0,2005-01-28,7403,4.26,842.0,Jan Eaton,Paperback,63.46,222.0,222.0,12.0,469.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1198,The Life-Changing Magic of Not Giving a F**k : The bestselling book everyone is talking about,224.0,2016-01-14,1350,3.44,34439.0,Sarah Knight,Paperback,67.34,134.0,214.0,18.0,232.0,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1199,The Autobiography of Malcolm X,496.0,1998-12-31,15388,4.32,238102.0,MALCOLM X,Paperback,43.36,105.0,175.0,27.0,238.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1200,The Unlikely Pilgrimage Of Harold Fry : The uplifting and redemptive No. 1 Sunday Times bestseller,384.0,2013-01-17,14399,3.91,162714.0,Rachel Joyce,Paperback,49.59,110.0,178.0,23.0,204.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
1201,Howl's Moving Castle,320.0,2010-02-01,3174,4.25,263603.0,Diana Wynne Jones,Paperback,41.89,129.0,198.0,20.0,230.0,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1202,Eleanor & Park,336.0,2014-07-01,13439,4.0,993873.0,Rainbow Rowell,Paperback,41.24,130.0,195.0,21.0,234.0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1203,The Promise : Winner of THE BOOKER PRIZE 2021,304.0,2021-06-17,1211,4.1,6955.0,Damon Galgut,Hardback,80.08,144.0,222.0,29.0,422.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1205,"Solo Leveling, Vol. 1 (manga)",192.0,2021-06-01,210,4.52,5665.0,Chugong,Paperback,71.19,145.0,206.0,18.0,499.0,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1206,Poems to Perform : A Classic Collection Chosen by the Children's Laureate,160.0,2014-01-30,6310,4.09,146.0,Julia Donaldson,Paperback,41.98,129.0,197.0,14.0,148.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1207,On Earth We're Briefly Gorgeous,256.0,2020-09-17,84,4.05,138520.0,Ocean Vuong,Paperback,48.74,129.0,198.0,16.0,181.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1208,Isla and the Happily Ever After,384.0,2014-08-27,6689,4.01,113089.0,Stephanie Perkins,Paperback,41.35,130.0,198.0,23.0,314.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1209,The Bands of Mourning : A Mistborn Novel,448.0,2017-01-12,1263,4.39,92125.0,Brandon Sanderson,Paperback,48.11,129.0,194.0,28.0,315.0,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1214,"Jujutsu Kaisen, Vol. 10",192.0,2021-07-22,116,4.58,3963.0,Gege Akutami,Paperback,47.03,127.0,191.0,15.0,170.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1216,The Unhoneymooners,432.0,2019-05-14,1431,4.02,293115.0,Christina Lauren,Paperback,66.29,132.0,206.0,28.0,318.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
1217,"Death Note Black Edition, Vol. 1",392.0,2011-01-20,578,4.48,14366.0,Tsugumi Ohba,Paperback,56.53,143.0,214.0,33.0,431.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1218,A Court of Silver Flames,768.0,2021-02-16,6452,4.39,214587.0,Sarah J. Maas,Hardback,94.48,153.0,234.0,60.0,980.0,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1221,Saga Volume 3,144.0,2016-02-12,1374,4.49,87008.0,Brian K Vaughan,Paperback,62.39,165.0,257.0,3.0,318.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1222,The Yoga Sutras of Patanjali,272.0,2012-09-15,2656,4.26,10638.0,Swami Satchidananda,Paperback,74.66,152.0,229.0,17.0,439.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
1223,"Good Girl, Bad Blood",432.0,2020-05-01,347,4.39,51167.0,Holly Jackson,Paperback,47.11,129.0,198.0,27.0,300.0,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1225,Is Everyone Hanging Out Without Me? : (And other concerns),240.0,2013-05-23,63643,3.85,456154.0,Mindy Kaling,Paperback,55.63,126.0,198.0,15.0,166.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1226,The Picture of Dorian Gray,256.0,2012-06-28,1812,4.1,1133179.0,Oscar Wilde,Paperback,43.44,129.0,198.0,11.0,181.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1227,King of Scars,528.0,2019-01-29,728,4.19,110623.0,Leigh Bardugo,Hardback,69.62,138.0,222.0,45.0,726.0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1229,The Interpretation of Dreams,480.0,1999-12-01,2132,3.82,68589.0,Sigmund Freud,Paperback,36.02,129.0,198.0,24.0,287.0,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1231,Antifragile : Things that Gain from Disorder,544.0,2013-11-08,956,4.06,44910.0,Nassim Nicholas Taleb,Paperback,65.73,129.0,198.0,23.0,372.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1232,Interaction of Color,208.0,2020-11-01,1372,4.09,8925.0,Josef Albers,Paperback,80.37,15.0,23.0,2.0,482.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1234,The Mindful Way through Depression : Freeing Yourself from Chronic Unhappiness,273.0,2020-07-01,37992,3.96,8418.0,Mark Williams,Paperback,80.71,152.0,229.0,20.0,338.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1235,Meditations,112.0,1998-02-01,1421,4.22,162365.0,Marcus Aurelius,Paperback,25.3,132.0,209.0,7.0,85.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1236,The Big Leap : Conquer Your Hidden Fear and Take Life to the Next Level,224.0,2011-08-26,3530,3.99,12766.0,Gay Hendricks,Paperback,65.79,135.0,203.0,13.0,175.0,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1238,"This is How You Lose the Time War : An epic time-travelling love story, winner of the Hugo and Nebula Awards for Best Novella",208.0,2019-07-18,239,3.96,74895.0,Amal El-Mohtar,Paperback,45.25,124.0,196.0,20.0,162.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1239,Intelligent Investor : The Classic Text on Value Investing,304.0,2011-08-31,3533,4.22,104577.0,Benjamin Graham,Hardback,97.35,152.0,235.0,26.0,563.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
1240,"The Explosive Child [Fifth Edition] : A New Approach for Understanding and Parenting Easily Frustrated, Chronically Inflexible Children",304.0,2014-06-19,6352,4.13,8084.0,"Ross W Greene, PhD",Paperback,86.97,135.0,203.0,17.0,231.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
1241,Your One Wild and Precious Life : An Inspiring Guide to Becoming Your Best Self At Any Age,416.0,2021-09-16,929,3.75,4.0,Maureen Gaffney,Paperback,74.7,153.0,234.0,30.0,500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1242,The Way of Kings Part Two : The Stormlight Archive Book One,544.0,2011-06-16,496,4.79,15571.0,Brandon Sanderson,Paperback,51.06,130.0,192.0,42.0,377.0,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1243,Radical Acceptance : Embracing Your Life With the Heart of a Buddha,352.0,2020-02-07,2409,4.11,22593.0,Tara Brach,Paperback,67.57,140.0,210.0,18.0,283.0,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1247,History Is All You Left Me : The much-loved hit from the author of No.1 bestselling blockbuster THEY BOTH DIE AT THE END!,304.0,2017-02-09,662,4.02,49282.0,Adam Silvera,Paperback,42.97,130.0,198.0,18.0,217.0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1248,"Many Lives, Many Masters : The true story of a prominent psychiatrist, his young patient and the past-life therapy that changed both their lives",224.0,1994-06-23,2046,4.15,48624.0,Dr. Brian Weiss,Paperback,56.81,219.0,162.0,17.0,248.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
1250,The Maze Runner,384.0,2014-08-10,10050,4.03,1231587.0,James Dashner,Paperback,42.89,132.0,197.0,26.0,290.0,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1251,To Kill A Mockingbird,320.0,2011-06-29,5208,4.27,5061072.0,Harper Lee,Paperback,46.15,129.0,198.0,19.0,223.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1252,Bridgerton: An Offer From A Gentleman (Bridgertons Book 3) : Inspiration for the Netflix Original Series Bridgerton,384.0,2021-02-11,7554,3.95,121760.0,Julia Quinn,Paperback,44.67,126.0,196.0,28.0,260.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1253,Royal Assassin,656.0,2014-03-27,493,4.23,167601.0,Robin Hobb,Paperback,56.1,129.0,198.0,41.0,450.0,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1254,Dance with Dragons,1136.0,2012-08-01,53809,4.31,597145.0,George R. R. Martin,Paperback,55.89,105.0,173.0,42.0,442.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
