,title,pages-count,date-published,bestsellers-rank,rating,rating-count,author,back-type,price-ILS,width,height,thickness,weight,Contemporary Fiction,Children's Fiction,Children's General Story Books,Adventure Books for Kids,Fantasy Books,Fantasy,Classic Books & Novels,Fantasy Books for Kids,Animal Stories,Sci Fi Books for Kids,Personal Development,Funny Books for Kids,Popular Psychology,Family,"Mind, Body, Spirit: Thought & Practice",Science Fiction,Activity Books,Picture Books,"Assertiveness, Motivation & Self-esteem",Classic Books for Children,Crime,Crime Fiction,Historical Fiction,Graphic Novels: Manga,Romance Books,Romance,Storybooks,Advice On Careers & Achieving Success,Memoirs,Thriller Books,Thrillers,Early Learning,Romance Books for Teenagers,Adventure Books,Biography: General,Funny Books & Stories,Psychology,Family & Relationships,Adult & Contemporary Romance,"Mind, Body & Spirit",Characters,Advice On Parenting,Health Books,Business & Management,"Graphic Novels, Anime & Manga",General Cookery,Baby Books,Popular Medicine & Health,Management: Leadership & Motivation,Family Issues,Traditional,"Mind, Body, Spirit: Meditation & Visualisation"
39,"The Silent Patient : The record-breaking, multimillion copy Sunday Times bestselling thriller and Richard & Judy book club pick",352.0,2020-01-15,70,4.12,859149.0,Alex Michaelides,Paperback,44.43,126.0,196.0,26.0,247.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
40,Before the Coffee Gets Cold,224.0,2019-09-19,77,3.73,63048.0,Toshikazu Kawaguchi,Paperback,49.55,131.0,196.0,16.0,173.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
41,Educated : The international bestselling memoir,400.0,2018-11-27,708,4.46,1068011.0,Tara Westover,Paperback,54.38,129.0,198.0,24.0,267.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
42,A Gentleman in Moscow : The worldwide bestseller,512.0,2017-11-02,160,4.32,387248.0,Amor Towles,Paperback,52.88,129.0,198.0,30.0,351.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
43,When Breath Becomes Air,256.0,2017-01-05,801,4.36,500777.0,Paul Kalanithi,Paperback,52.77,129.0,198.0,16.0,181.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
47,"The Happiness Trap : Stop Struggling, Start Living",288.0,2008-06-26,2708,4.06,10286.0,Russ Harris,Paperback,48.45,200.0,133.0,19.0,204.0,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
48,All the Light We Cannot See,544.0,2015-05-01,104,4.32,1220934.0,Anthony Doerr,Paperback,51.83,129.0,198.0,34.0,370.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
49,The Intelligent Investor : The Definitive Book on Value Investing,640.0,2003-10-23,176,4.22,104631.0,Benjamin Graham,Paperback,80.43,135.0,203.0,37.0,479.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
50,The Four Agreements : A Practical Guide to Personal Freedom (A Toltec Wisdom Book),160.0,1997-11-07,201,4.16,264151.0,Don Miguel Ruiz,Paperback,52.92,130.0,184.0,12.0,176.0,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
51,Roald Dahl's Marvellous Joke Book,128.0,2012-09-06,641,3.95,211.0,Roald Dahl,Paperback,38.0,129.0,198.0,7.0,96.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
